Provincia,Canton,Parroquia,Femenino,Masculino,Textbox17,Textbox6,Textbox7,Textbox18,id
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,303,284,587,"360,463","347,776","708,239",1
AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DEL PIJILI,0,0,0,"360,463","347,776","708,239",2
AZUAY,CHORDELEG,CHORDELEG,302,321,623,"360,463","347,776","708,239",3
AZUAY,CHORDELEG,LA UNION,0,0,0,"360,463","347,776","708,239",4
AZUAY,CHORDELEG,LUIS GALARZA ORELLANA,0,0,0,"360,463","347,776","708,239",5
AZUAY,CHORDELEG,PRINCIPAL,20,25,45,"360,463","347,776","708,239",6
AZUAY,CHORDELEG,SAN MARTIN DE PUZHIO,0,0,0,"360,463","347,776","708,239",7
AZUAY,CUENCA,BA¥OS,403,"1,013","1,416","360,463","347,776","708,239",8
AZUAY,CUENCA,BELLAVISTA,347,585,932,"360,463","347,776","708,239",9
AZUAY,CUENCA,CA¥ARIBAMBA,693,822,"1,515","360,463","347,776","708,239",10
AZUAY,CUENCA,CHAUCHA,19,24,43,"360,463","347,776","708,239",11
AZUAY,CUENCA,CHECA (JIDCAY),42,52,94,"360,463","347,776","708,239",12
AZUAY,CUENCA,CHIQUINTAD,122,179,301,"360,463","347,776","708,239",13
AZUAY,CUENCA,CUMBE,145,165,310,"360,463","347,776","708,239",14
AZUAY,CUENCA,EL BATAN,207,169,376,"360,463","347,776","708,239",15
AZUAY,CUENCA,EL SAGRARIO,"1,223","1,163","2,386","360,463","347,776","708,239",16
AZUAY,CUENCA,EL VECINO,966,"1,091","2,057","360,463","347,776","708,239",17
AZUAY,CUENCA,GIL RAMIREZ DAVALOS,955,989,"1,944","360,463","347,776","708,239",18
AZUAY,CUENCA,HERMANO MIGUEL,83,79,162,"360,463","347,776","708,239",19
AZUAY,CUENCA,HUAYNACAPAC,781,"1,495","2,276","360,463","347,776","708,239",20
AZUAY,CUENCA,LLACAO,46,31,77,"360,463","347,776","708,239",21
